Model,MAE,RMSE,MAPE (%)
Holt-Winters,10679.862213201997,13991.531302994334,17.599496175085026
"SARIMA(1,1,1)(1,1,1,12)",13580.179343521711,16260.698283016021,26.84439877966373
"ARIMA(1,1,1)",23450.62722593854,27208.447422550846,54.10577087234649
Simple Exponential Smoothing,24305.402731775477,28085.27142302369,57.68997219682285
Naive,39472.56873333334,44191.88603704968,97.32309573436231
Holt's Linear Trend,56450.43719439547,58442.44559602856,122.70938350996829
